gene_name,ENSEMBL_Gene,species,immune_typing_important_marker,leukocyte_important_marker,TNK_important_marker,ILC_important_marker,B_important_marker,M_important_marker,DC_important_marker
C1QB,ENSG00000173369,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
C1QA,ENSG00000173372,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
IDO1,ENSG00000131203,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
IL6ST,ENSG00000134352,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
IL6R,ENSG00000160712,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
EOMES,ENSG00000163508,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
CD22,ENSG00000012124,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CDH1,ENSG00000039068,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
SIGLEC1,ENSG00000088827,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CD209,ENSG00000090659,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
NRP1,ENSG00000099250,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CD33,ENSG00000105383,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
SIGLEC6,ENSG00000105492,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CD5,ENSG00000110448,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CLEC4A,ENSG00000111729,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
FLT3,ENSG00000122025,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ZBTB46 ,ENSG00000130584,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
TRIM21,ENSG00000132109,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CLEC10A,ENSG00000132514,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
NOTCH2,ENSG00000134250,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
IRF4,ENSG00000137265,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
SECISBP2L,ENSG00000138593,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CXCL9,ENSG00000138755,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ITGAX,ENSG00000140678,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
IRF8,ENSG00000140968,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
FCGR2A,ENSG00000143226,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
S100A8,ENSG00000143546,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
S100A7,ENSG00000143556 ,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ENPP3,ENSG00000154269,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ICOSLG,ENSG00000160223,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
S100A9,ENSG00000163220,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CXCL10,ENSG00000169245,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ITGAM,ENSG00000169896,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
XCR1,ENSG00000173578,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
THBD,ENSG00000178726,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CSF1R,ENSG00000182578,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CADM1,ENSG00000182985,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
IL3RA,ENSG00000185291,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
IRF7,ENSG00000185507,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
DPP4,ENSG00000197635,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
PDCD1LG2,ENSG00000197646,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CLEC9A,ENSG00000197992,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CLEC4C,ENSG00000198178,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
CR1,ENSG00000203710,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
MAFB,ENSG00000204103,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
LILRA4,ENSG00000239961,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
LILRA2,ENSG00000239998,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
FCGR2B,ENSG00000072694,homo_sapiens,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
FCGRT,ENSG00000104870,homo_sapiens,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
ID2,ENSG00000115738,homo_sapiens,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
BATF3,ENSG00000123685,homo_sapiens,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
KLF4,ENSG00000136826,homo_sapiens,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
TNFRSF21,ENSG00000146072,homo_sapiens,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
LILRB4,ENSG00000186818,homo_sapiens,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
TCF4,ENSG00000196628,homo_sapiens,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
FCGR2C,ENSG00000244682,homo_sapiens,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
RUNX3,ENSG00000020633,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
ITGAE,ENSG00000083457,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
TYRO3,ENSG00000092445,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
IL12RB1,ENSG00000096996,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
CD2,ENSG00000116824,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
CD226,ENSG00000150637,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
MERTK,ENSG00000153208,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
CD8A,ENSG00000153563,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
AXL,ENSG00000167601,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
CX3CR1,ENSG00000168329,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
BTLA,ENSG00000186265,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
SIRPA,ENSG00000198053,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
CD74,ENSG00000019582 ,homo_sapiens,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
CD40,ENSG00000101017,homo_sapiens,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
CD1C,ENSG00000158481,homo_sapiens,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
TGFB2,ENSG00000092969,homo_sapiens,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
TGFB1,ENSG00000105329,homo_sapiens,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
IL10,ENSG00000136634,homo_sapiens,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
PDCD1,ENSG00000188389,homo_sapiens,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
NAMPT,ENSG00000105835,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IFIH1,ENSG00000115267 ,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IRF1,ENSG00000125347 ,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IFI6,ENSG00000126709,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
OASL,ENSG00000135114,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
RTP4,ENSG00000136514,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IFI44L,ENSG00000137959,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IFITM3,ENSG00000142089 ,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ADAR,ENSG00000160710,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LY6E,ENSG00000160932 ,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TENT5C,ENSG00000183508,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IFITM2,ENSG00000185201,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TREX1,ENSG00000213689,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MIF,ENSG00000240972 ,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FGFBP2,ENSG00000137441 ,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LCK,ENSG00000182866 ,homo_sapiens,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LAMP2,ENSG00000005893,homo_sapiens,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
STXBP2,ENSG00000076944 ,homo_sapiens,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CEACAM1,ENSG00000079385 ,homo_sapiens,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
TCF7,ENSG00000081059,homo_sapiens,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
NFATC2,ENSG00000101096 ,homo_sapiens,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
GNLY,ENSG00000115523 ,homo_sapiens,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
FASLG,ENSG00000117560,homo_sapiens,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
NFATC1,ENSG00000131196 ,homo_sapiens,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
MYC,ENSG00000136997 ,homo_sapiens,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
LEF1,ENSG00000138795 ,homo_sapiens,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
TMIGD2,ENSG00000167664 ,homo_sapiens,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
LAMP1,ENSG00000185896 ,homo_sapiens,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
HMGB1,ENSG00000189403 ,homo_sapiens,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
CX3CL1,ENSG00000006210,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCL26,ENSG00000006606,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL32,ENSG00000008517,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CXCL2,ENSG00000081041,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TXLNA,ENSG00000084652,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL11,ENSG00000095752,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCL22,ENSG00000102962,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCL17,ENSG00000102970,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL7,ENSG00000104432,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SIGLEC5,ENSG00000105501,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCL24,ENSG00000106178,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CXCL12,ENSG00000107562,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCL7,ENSG00000108688,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCL2,ENSG00000108691,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCL8,ENSG00000108700,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCL1,ENSG00000108702,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL23A,ENSG00000110944,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL1A,ENSG00000115008,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCL20,ENSG00000115009,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFSF4,ENSG00000117586,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IFNA8,ENSG00000120242,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCR2,ENSG00000121807,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFSF10,ENSG00000121858,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CXCL6,ENSG00000124875,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL1B,ENSG00000125538,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CCL25,ENSG00000131142,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IL36G,ENSG00000136688,homo_sapiens,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
